variant,image,time_block,arm,v1_t_m,v1_r_deg,lidar_only_t_m,lidar_only_r_deg,result_t_m,result_r_deg,v1_success,lidar_only_success,result_success,solver_called,solver_converged,nfev,residual_calls,lidar_support,camera_support,lidar_objective_before,lidar_objective_after,camera_scan_gt_t_m,camera_scan_gt_r_deg,camera_reference_result_t_m,camera_reference_result_r_deg
balanced,1329069268938839,22151154,prediction_full,0.15377627260033275,1.883473053209172,0.12076917377977829,1.7092602718025898,0.1284620810503521,1.7817474163390672,True,True,True,True,True,8,56,176,20,0.12890851328594688,0.12301365325364215,0.0027153313570463344,0.01994051041467745,0.12891171096886528,1.778874632673804
balanced,1329069268938839,22151154,prediction_common,0.15377627260033275,1.883473053209172,0.12076917377977829,1.7092602718025898,0.1255129068274455,1.6977841886736864,True,True,True,True,True,8,56,176,26,0.12890851328594688,0.1232319856965497,0.0027153313570463344,0.01994051041467745,0.12607898114478136,1.6946145785172615
balanced,1329069268938839,22151154,oracle_prediction,0.15377627260033275,1.883473053209172,0.12076917377977829,1.7092602718025898,0.12505935018802652,1.4328078174201428,True,True,True,True,True,8,56,176,24,0.12890851328594688,0.13503316632758738,0.0027153313570463344,0.01994051041467745,0.12569683615344837,1.4284633220073115
balanced,1329069268938839,22151154,oracle_matched_random,0.15377627260033275,1.883473053209172,0.12076917377977829,1.7092602718025898,0.11009974908613727,1.5158307333296583,True,True,True,True,True,8,56,176,8,0.12890851328594688,0.1261599722954103,0.0027153313570463344,0.01994051041467745,0.11064165650728774,1.5114957903011228
balanced,1329069269936473,22151154,lidar_only,0.23280085492327865,2.449362196151333,0.23489369890251172,2.367735183237437,0.23489369890251172,2.367735183237437,False,False,False,True,True,8,56,136,0,0.0910436303369598,0.08877199592157033,0.0011590136016481165,0.0018322902495946929,0.23450546291675414,2.3677543495950673
balanced,1329069269936473,22151154,prediction_full,0.23280085492327865,2.449362196151333,0.23489369890251172,2.367735183237437,0.2394326805066654,2.381143461589547,False,False,False,True,True,8,56,136,16,0.0910436303369598,0.08924828636656845,0.0011590136016481165,0.0018322902495946929,0.2390303492851005,2.381169231488452
balanced,1329069269936473,22151154,prediction_common,0.23280085492327865,2.449362196151333,0.23489369890251172,2.367735183237437,0.23368047818022175,2.3087435784829045,False,False,False,True,True,8,56,136,23,0.0910436303369598,0.0893747688310636,0.0011590136016481165,0.0018322902495946929,0.23330604238886038,2.3088342018072527
balanced,1329069269936473,22151154,oracle_prediction,0.23280085492327865,2.449362196151333,0.23489369890251172,2.367735183237437,0.19776699113132193,1.7604343448387552,False,False,True,True,True,9,63,136,22,0.0910436303369598,0.11054409783432019,0.0011590136016481165,0.0018322902495946929,0.19749523700808946,1.7609739735061036
balanced,1329069269936473,22151154,oracle_matched_random,0.23280085492327865,2.449362196151333,0.23489369890251172,2.367735183237437,0.23902497229968403,2.5415930083343548,False,False,False,True,True,8,56,136,6,0.0910436303369598,0.09163412921373124,0.0011590136016481165,0.0018322902495946929,0.23872261999425168,2.5417067870892525
balanced,1329069270936571,22151154,lidar_only,0.26360832978484644,1.3334491274452656,0.20890395944496157,1.196963103493585,0.20890395944496157,1.196963103493585,True,True,True,True,True,8,56,137,0,0.10564949733904502,0.09919111342997675,0.0008071436406236623,0.0014739458121614186,0.20912182714140737,1.1971542446298393
